course_code,subject,number,section,title,description,prerequisites,corequisites,restrictions,notes,delivery,source_file
COSC 3P99,COSC,3P99,,",","4F90 , MATH 2P12 , 2P92 , 2P97 , 3P12 , 3P73, 4P71 , 4P92 , STAT 2P81 , 2P98 . Co-op Program The Computer Science Co-op program combines academic and work terms over a four and one-half year period. Students spend one and one-half years in an academic setting studying the fundamentals of computer programming, computer organization, algorithms, data structures and ethics prior to their first work placement. Successful completion of courses in the core areas of Computer Science provides the necessary academic background for the work experience. In addition to the current fees for courses in academic study terms, Co-op students are assessed an annual administration fee (see the Schedule of Fees ). Eligibility to continue is based on the student's major average and non-major average. Students will be required to maintain a minimum 70 percent major average and a minimum 60 percent non-major average in order to continue in the Co-op program. If a student subsequently raises the student's major average to 70 percent, the student may be readmitted only if approved by the Computer Science Co-op Admissions Committee. All students in the Co-operative Education program are required to read, sign and adhere to the terms of the Student Regulations Waiver and Co-op Student Manual (brocku.ca/co-op/current-students/co-op-student-manuals) as articulated by the Co-op Programs Office. In addition, eligibility to continue in the co-op option is based on the student's major average and non-major average, and the ability to demonstrate the motivation and potential to pursue a professional career. Students must register for each four-month co-operative education work term. Once students are registered in a co-op work term, they are expected to fulfill their commitment. If the placement accepted is for more than one four-month work term, students are committed to complete all terms. Students may not withdraw from or terminate a work term without permission from the Director, Co-op Program Office. The Computer Science Co-op program designation will be awarded to those students who have honours standing and have successfully completed a minimum of twelve months Co-op work experience. Applied Computing (APCO) Courses Courses with the APCO designation are intended for non-Computer Science majors who recognize the need for fluency in computing as a part of their undergraduate program. These courses may be taken individually or as part of a minor.",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
APCO 1P00,APCO,1P00,,",","1P01 , 1P30 , 1P50 and 1P93 may each be taken as a first APCO course.",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
APCO 1P00,APCO,1P00,,is a non-technical introduction to programming and requires no previous experience.,"APCO 1P01 discusses software tools for word processing, spreadsheets, presentations, databases and searching the internet and anticipates previous exposure to computer use.",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
APCO 1P30,APCO,1P30,,involves programming for interactive media and assumes no prior programming experience but does assume familiarity with computer applications.,,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
APCO 1P50,APCO,1P50,,considers effective and ethical use of computers for information acquisition and dissemination. It requires no previous computing skill.,,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
APCO 1P93,APCO,1P93,,will usually serve as a second programming course but can also serve as an introductory programming course for those who need a more technical introduction to programming.,"APCO courses do not count as major credit for COSC (single or combined) majors, Computing and Business , Computing and Network Communications and Computing and Solid-State Device Technology students. Department Facilities A campus-wide fibre optic network links all the University's academic computing facilities including the department's computers. Campus-wide WiFi provides access to this network from anywhere on campus. The department maintains a 16 core Redhat Linux server that supports the departmental labs and provides students with access to their files wherever they can connect via the internet. The department has three computer laboratories: D205, J301 and J310 containing multi-core Intel processor computers running both Windows and Linux operating systems with access to development environments, database systems and other special purpose software used in the courses. Major Credits In calculating the major average for a Computer Science major or co-major, all COSC courses, MATH 1P66 and 1P67 are included. Mathematics in Computer Science Mathematics is fundamental to the study of Computer Science and thus MATH credits are required in each of the various programs. In order to be more competitive in the workplace and if considering graduate studies, students are strongly encouraged to take as many MATH courses as possible. Computer Hardware Students interested in computer hardware are advised to elect PHYS 2P30 and 3P92 within their Computer Science program. PHYS 1P21 or 1P91 (recommended) and either PHYS 1P22 or 1P92 (recommended) are required as a prerequisite for PHYS 2P30 . Program Notes 1. In choosing electives, students could consider: ENTR 2P51 , FNCE 2P51 , IASC 2P01 , MKTG 2P51 , OPER 2P51 , PHIL 2P25 , WRDS 2P14 and, if considering graduate school, additional MATH courses. Students are advised to take special care in selecting elective credits (both COSC and general), especially in year three, to ensure access to subsequent courses required to complete the four-year programs. 2. MATH 1P05 and 1P06 for Chemistry ; MATH 1P97 and STAT 1P98 for Earth Sciences . 3. One elective credit if the required course in year 1 in the other discipline is a Social Sciences context credit or Humanities context credit for the combined degree with Social Sciences context credit or Humanities context credit, respectively. 4. Students may take MATH 1P05 and 1P06 in place of MATH 1P97 and STAT 1P98 in year 1. STAT 1P98 would then be taken in year 2 in place of a one-half credit elective. 5. For students with a special interest in geographic information systems, the following courses are strongly recommended as GEOG and COSC elective credits: GEOG 3P04 , 3P05 , 3P07 ,",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 3P98,COSC,3P98,,.,6. The Computer Science and Visual Arts program is limited to 5 students. 7. Students planning on attending graduate school should consider two additional credits from,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 3P99,COSC,3P99,,",","4F90 , 4P03 , 4P42 , MATH 2P12 , 2P92 , 2P97 , 3P12 , 3P73, 4P71 , 4P92 , STAT 2P81 , 2P98 . 8. In 20 credit degree programs a maximum of eight credits may be numbered 1 (alpha) 00 to 1 (alpha) 99; at least three credits must be numbered 2 (alpha) 90 or above; at least three credits must be numbered 3 (alpha) 90 or above; and the remaining credits must be numbered 2 (alpha) 00 or above. In some circumstances, in order to meet university degree and program requirements, more than 20 credits may be taken. Honours Program Year 1",,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P02,COSC,1P02,,and,1P03,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
COSC 1P50,COSC,1P50,,or,1P71 MATH 1P66 and 1P67 one Humanities context credit one Social Sciences context credit one-half elective credit (see program note 1 ) Year 2,,,,,,2024-2025-Undergraduate-Calendar-Computer-Science.html
